,,ANSWERID,Question,Answer,URL,llama3.1,CorrectedQuestions
26,26,MPlusHealthTopics_0000474_Sec1.txt,Do you have information about Hip Replacement (Also called: Hip arthroplasty; Hip prosthesis),"Summary : Hip replacement is surgery for people with severe hip damage. The most common cause of damage is osteoarthritis. Osteoarthritis causes pain, swelling, and reduced motion in your joints. It can interfere with your daily activities. If other treatments such as physical therapy, pain medicines, and exercise haven't helped, hip replacement surgery might be an option for you.    During a hip replacement operation, the surgeon removes damaged cartilage and bone from your hip joint and replaces them with new, man-made parts.    A hip replacement can       - Relieve pain    - Help your hip joint work better    - Improve walking and other movements       The most common problem after surgery is hip dislocation. Because a man-made hip is smaller than the original joint, the ball can come out of its socket. The surgery can also cause blood clots and infections. With a hip replacement, you might need to avoid certain activities, such as jogging and high-impact sports.    NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases",https://www.nlm.nih.gov/medlineplus/hipreplacement.html,"Hip replacement surgery, also known as hip arthroplasty, is a surgical procedure that involves the replacement of a damaged or diseased hip joint with an artificial implant. The primary purpose of hip replacement surgery is to alleviate pain and restore function to the affected hip joint. The procedure typically involves the removal of the damaged hip joint and the insertion of an artificial implant, which is designed to mimic the natural movement of the hip joint.","What are the key details about hip replacement surgery, including its purpose, procedure, benefits, potential risks, and post-surgery lifestyle considerations?"
27,27,MPlusHealthTopics_0000693_Sec1.txt,Do you have information about Patient Rights,"As a patient, you have certain rights. Some are guaranteed by federal law, such as the right to get a copy of your medical records, and the right to keep them private. Many states have additional laws protecting patients, and healthcare facilities often have a patient bill of rights.    An important patient right is informed consent. This means that if you need a treatment, your health care provider must give you the information you need to make a decision.    Many hospitals have patient advocates who can help you if you have problems. Many states have an ombudsman office for problems with long term care. Your state's department of health may also be able to help.",https://www.nlm.nih.gov/medlineplus/patientrights.html,"* The key rights of patients include access to medical records, privacy protections, informed consent, and resources available for resolving issues in healthcare settings. Patients have the right to access their medical records, including information about their medical history, test results, and treatment plans. They also have the right to privacy, which means that healthcare providers must keep their personal information confidential and secure. Patients must also provide informed consent before receiving any medical treatment, which means that they must be fully informed about the benefits, risks, and alternatives of the treatment before they agree to it. If patients have any concerns or issues with their healthcare, they have the right to resources available to help them resolve those issues, such as patient advocates or ombudsmen.","What are the key rights of patients, including access to medical records, privacy protections, informed consent, and resources available for resolving issues in healthcare settings"
28,28,MPlusDrugs_0000555_Sec7.txt,What other information should I know about Glucagon ?,"Keep all appointments with your doctor and the laboratory. Do not let anyone else use your medication. Ask your pharmacist any questions you have about refilling your prescription. It is important for you to keep a written list of all of the prescription and nonprescription (over-the-counter) medicines you are taking, as well as any products such as vitamins, minerals, or other dietary supplements. You should bring this list with you each time you visit a doctor or if you are admitted to a hospital. It is also important information to carry with you in case of emergencies.)",https://www.nlm.nih.gov/medlineplus/druginfo/meds/a682480.html,"Glucagon is a hormone that raises blood glucose levels. It is produced by the pancreas and is released in response to low blood sugar. Glucagon works by stimulating the liver to convert stored glycogen into glucose, which is then released into the bloodstream. Glucagon also has other effects on the body, including the stimulation of the breakdown of fats and proteins to provide energy. Glucagon is used as a treatment for low blood sugar in people with diabetes, and it is also used to treat other conditions such as hypoglycemia and Addison's disease. Glucagon is available as a prescription medication and is usually given by injection. It is important to note that glucagon should only be used under the supervision of a healthcare provider.",What other information should I know about Glucagon ?
29,29,MPlusDrugs_0000555_Sec2.txt,How should Glucagon be used and what is the dosage?,"Glucagon is usually given by injection beneath the skin, in the muscle, or in the vein. It comes as a powder and liquid that will need to be mixed just before administering the dose. Instructions for mixing and giving the injection are in the package. Glucagon should be administered as soon as possible after discovering that the patient is unconscious from low blood sugar. After the injection, the patient should be turned onto the side to prevent choking if they vomit. Once the glucagon has been given, contact your doctor. It is very important that all patients have a household member who knows the symptoms of low blood sugar and how to administer glucagon.  If you have low blood sugar often, keep a glucagon kit with you at all times. You should be able to recognize some of the signs and symptoms of low blood sugar (i.e., shakiness, dizziness or lightheadedness, sweating, confusion, nervousness or irritability, sudden changes in behavior or mood, headache, numbness or tingling around the mouth, weakness, pale skin, sudden hunger, clumsy or jerky movements). Try to eat or drink a food or beverage with sugar in it, such as hard candy or fruit juice, before it is necessary to administer glucagon.  Follow the directions on your prescription label carefully, and ask your pharmacist or doctor to explain any part you or your household members do not understand. Use glucagon exactly as directed. Do not use more or less of it or use it more often than prescribed by your doctor.",https://www.nlm.nih.gov/medlineplus/druginfo/meds/a682480.html,"Glucagon is a hormone that raises blood sugar levels. It is used to treat low blood sugar (hypoglycemia) in people with diabetes. Glucagon is also used to treat certain types of slow heartbeats (bradycardia), and to reverse the effects of insulin in people with diabetes who have gone into shock. Glucagon is also used to treat other conditions as determined by your doctor. Glucagon is given by injection under the skin (subcutaneously) or into a muscle (intramuscularly). Glucagon is also available as a nasal spray (Glucagon Nasal Powder). This medicine comes with patient instructions. Read and follow these instructions carefully. Ask your doctor if you have any questions.<|end_of_text|>",How should Glucagon be used and what is the dosage?
30,30,ADAM_0000924_Sec1.txt,Do you have information about Communicating with patients?,"Patient education allows patients to play a bigger role in their own care. It also aligns with the growing movement toward patient- and family-centered care.  To be effective, patient education needs to be more than instructions and information. Teachers and health care providers need to be able to assess patient needs and communicate clearly.  The success of patient education depends largely on how well you assess your patient's:  - Needs  - Concerns  - Readiness to learn  - Preferences  - Support  - Barriers and limitations (such as physical and mental capacity, and low health literacy)    Often, the first step is to find out what the patient already knows. Use these guidelines to do a thorough assessment before starting patient education:  - Gather clues. Talk to the health care team members and observe the patient. Be careful not to make assumptions. Patient teaching based on incorrect assumptions may not be very effective and may take more time.  - Get to know your patient. Introduce yourself and explain your role in your patient's care. Review their medical record and ask basic get-to-know-you questions.  - Establish a rapport. Make eye contact when appropriate and help your patient feel comfortable with you. Pay attention to the person's concerns.  - Gain trust. Show respect and treat each person with compassion and without judgment.  - Determine your patient's readiness to learn. Ask your patients about their outlooks, attitudes, and motivations.  - Learn the patient's perspective. Talk to the patient about worries, fears, and possible misconceptions. The information you receive can help guide your patient teaching.  - Ask the right questions. Ask if the patient has concerns, not just questions. Use open-ended questions that require the patient to reveal more details. Listen carefully. The patient's answers will help you learn the person's core beliefs. This will help you understand the patient's motivation and let you plan the best ways to teach.  - Learn about the patient's skills. Find out what your patient already knows. You may want to use the teach-back method (also called the show-me method or closing the loop) to figure out what the patient may have learned from other health care providers. The teach-back method is a way to confirm that you have explained the information in a way that the patient they understands. Also, find out what skills the patient may still need to develop.  - Involve others. Ask if the patient wants other people involved with the care process. It is possible that the person who volunteers to be involved in your patient's care may not be the person your patient prefers to be involved. Learn about the support available to your patient.  - Identify barriers and limitations. You may perceive barriers to education, and the patient may confirm them. Some factors, such as low health literacy may be more subtle and harder to recognize.  - Take time to establish rapport. Do a comprehensive assessment. It is worth it, because your patient education efforts will be more effective.",https://medlineplus.gov/ency/patientinstructions/000456.htm,"Communicating with patients is a crucial aspect of healthcare delivery, as it enables effective patient-provider relationships and promotes patient satisfaction and adherence to treatment plans. Effective communication involves active listening, empathy, and the use of appropriate language and tone. It is essential to establish rapport and build trust with patients, which can be achieved through active listening and open-ended questions. Effective communication can also be facilitated by using clear and concise language, avoiding medical jargon, and providing patients with information in a way that is understandable and accessible to them. Additionally, it is important to be sensitive to cultural and linguistic differences and to ensure that patients understand the information provided to them. Overall, effective communication with patients is essential for providing high-quality healthcare and promoting patient-centered care.",What information do you have about Communicating with patients?
31,31,ADAM_0001110_Sec1.txt,Do you have information about Deciding to have knee or hip replacement?,"There are many ways to help decide to have knee or hip replacement surgery or not. These may include reading about the operation and talking to others with knee or hip problems. A key step is talking to your health care provider about your quality of life and goals for surgery. Surgery may or may not be the right choice for you. Only careful thought can help you make a decision. Who Benefits From Knee or hip Replacement Surgery? : The most common reason to have a knee or hip replaced is to provide relief from severe arthritis pain that limits your activities. Your provider may recommend replacement surgery when: - Pain prevents you from sleeping or doing normal activities. - You cannot move around by yourself and have to use a cane or walker. - Your pain has not improved with other treatment. - You understand the surgery and recovery involved. Some people are more willing to accept the limits knee or hip pain places on them. They will wait until the problems are more severe. Others will want to have joint replacement surgery in order to continue with sports and other activities they enjoy. Knee or hip replacements are most often done in people who are 60 and older. However, many people who have this surgery are younger. When a knee or hip replacement is done, the new joint may wear out over time. This is more likely to occur in people with more active lifestyles or in those who will likely live longer after surgery. Unfortunately, if a second joint replacement is needed in the future, it may not work as well as the first. Is There any Harm in Waiting? : For the most part, knee and hip replacement are elective procedures. This means these surgeries are done to provide relief for your pain, not for any other medical reason. In most cases, delaying surgery should not make joint replacement less effective if you choose to have it in the future. In some cases, the provider may strongly recommend surgery if deformity or extreme wear and tear on the joint affects other parts of your body. Also, if pain is preventing you from moving around well, the muscles around your joints may become weaker and your bones may become thinner. This may affect your recovery time if you have surgery at a later date. Why you may not be Able to Have Replacement Surgery : Your provider may recommend against knee or hip replacement surgery if you have any of the following: - Extreme obesity (weighing over 300 pounds) - Weak quadriceps, the muscles in the front of your thighs, that can make it very hard for you to walk and use your knee - Unhealthy skin around the joint - Previous infection of your knee or hip - Previous surgery or injuries that do not allow for a successful joint replacement - Heart or lung problems, which make major surgery more risky - Other health conditions that may not allow you to recover well from joint replacement surgery",https://www.nlm.nih.gov/medlineplus/ency/patientinstructions/000368.htm,"I have a patient who has been suffering from knee pain for the past 3 years. He has tried various medications and physical therapy, but nothing has helped. He is now considering having a knee replacement surgery. He has heard that knee replacement surgery is very successful and that it can provide significant relief from pain. He is also concerned about the risks and complications associated with the surgery. He wants to know what the risks and benefits of the surgery are and what the success rate is.",What information do you have about deciding to have knee or hip replacement?
32,32,ADAM_0001191_Sec2.txt,What causes Diabetes and nerve damage ? (Also called: Diabetic neuropathy; Diabetes - neuropathy),"In people with diabetes, the body's nerves can be damaged by decreased blood flow and a high blood sugar level. This condition is more likely when the blood sugar level is not well controlled.  About half of people with diabetes develop nerve damage. Symptoms often do not begin until many years after diabetes has been diagnosed. Some persons who have diabetes that develops slowly already have nerve damage when they are first diagnosed.",https://www.nlm.nih.gov/medlineplus/ency/article/000693.htm,Diabetes causes nerve damage by damaging the blood vessels that feed the nerves. This damages the myelin sheath (the protective covering that surrounds nerves) and causes the nerves to become inflamed and damaged. Nerve damage can also occur due to a lack of oxygen or blood flow to the nerves.,What causes Diabetes and nerve damage ? (Also called: Diabetic neuropathy; Diabetes - neuropathy)
33,33,ADAM_0001981_Sec1.txt,What is (are) Hip joint replacement ? (Also called: Hip arthroplasty; Total hip replacement; Hip hemiarthroplasty),Hip joint replacement is surgery to replace all or part of the hip joint with a man-made joint. The artificial joint is called a prosthesis.,https://www.nlm.nih.gov/medlineplus/ency/article/002975.htm,Hip joint replacement is a surgical procedure to replace a hip joint with an artificial prosthesis.,What is (are) Hip joint replacement ? (Also called: Hip arthroplasty; Total hip replacement; Hip hemiarthroplasty)
34,34,ADAM_0001981_Sec2.txt,What is (are) Hip joint replacement ? (Also called: Hip arthroplasty; Total hip replacement; Hip hemiarthroplasty),"Your hip joint is made up of two major parts. One or both parts may be replaced during surgery: - The hip socket (a part of the pelvic bone called the acetabulum) - The upper end of the thighbone (called the femoral head) The new hip that replaces the old one is made up of these parts: - A socket, which is usually made of strong metal. - A liner, which fits inside the socket. It is usually plastic, but some surgeons are now trying other materials, like ceramic. The liner allows the hip to move smoothly. - A metal or ceramic ball that will replace the round head (top) of your thigh bone. - A metal stem that is attached to the thigh bone to make the joint more stable. You will not feel any pain during surgery. You will have one of two types of anesthesia: - General anesthesia. This means you will be asleep and unable to feel pain. - Regional (spinal or epidural anesthesia). Medicine is put into your back to make you numb below your waist. You will also get medicine to make you sleepy. And you may get medicine that will make you forget about the procedure, even though you will not be fully asleep. After you receive anesthesia, your surgeon will make a surgical cut to open up your hip joint. Often this cut is over the buttocks. Then your surgeon will: - Cut and remove the head of your thigh bone - Clean out your hip socket and remove the rest of the cartilage and damaged or arthritic bone - Put the new hip socket in place, then insert the metal stem into your thigh bone - Place the correct-sized ball for the new joint - Secure all of the new parts in place, sometimes with a special cement - Repair the muscles and tendons around the new joint - Close the surgical wound This surgery takes about 1 - 3 hours.",https://www.nlm.nih.gov/medlineplus/ency/article/002975.htm,Hip joint replacement is a surgical procedure in which the diseased joint surface or end of the femur bone in the thigh is replaced with an artificial joint.,What is (are) Hip joint replacement ? (Also called: Hip arthroplasty; Total hip replacement; Hip hemiarthroplasty)
35,35,ADAM_0001981_Sec3.txt,What is the outlook for Hip joint replacement ? (Also called: Hip arthroplasty; Total hip replacement; Hip hemiarthroplasty),"Hip replacement surgery results are often excellent. Most or all of your pain and stiffness should go away.  Some people may have problems with infection, loosening, or even dislocation of the new hip joint.  Over time the artificial hip joint will loosen. This can happen after as long as 15 - 20 years. You may need a second replacement.  Younger, more active people may wear out parts of their new hip. It may need to be replaced before the artificial hip loosens.",https://www.nlm.nih.gov/medlineplus/ency/article/002975.htm,"Total hip replacement (THR) is a surgical procedure whereby the diseased acetabulum and femoral head are replaced with prosthetic components. The surgery was first performed in 1960 by Sir John Charnley, a British orthopedic surgeon. THR is a common surgical procedure that is performed to alleviate pain and disability due to arthritis of the hip joint. The primary indications for THR are severe pain and disability caused by arthritis of the hip joint. The most common cause of arthritis of the hip joint is osteoarthritis. Other causes of arthritis include rheumatoid arthritis, post-traumatic arthritis, and avascular necrosis. There are several surgical options for the treatment of arthritis of the hip joint, including joint replacement with a prosthesis, osteotomy, and arthrodesis. The indications for THR include osteoarthritis, rheumatoid arthritis, post-traumatic arthritis, and avascular necrosis. The contraindications for THR include infection, malignancy, and previous hip surgery. The contraindications for THR include infection, malignancy, and previous hip surgery. The contraindications for THR include infection, malignancy, and previous hip surgery. The contraindications for THR include infection, malignancy, and previous hip surgery. The contraindications for THR include infection, malignancy, and previous hip surgery. The contraindications for THR include infection, malignancy, and previous hip surgery. The contraindications for THR include infection, malignancy, and previous hip surgery. The contraindications for THR include infection, malignancy, and previous hip surgery. The contraindications for THR include infection, malignancy, and previous hip surgery. The contraindications for THR include infection, malignancy, and previous hip surgery. The contraindications for THR include infection, malignancy, and previous hip surgery. The contraindications for THR include infection, malignancy, and previous hip surgery. The contraindications for THR include infection, malignancy, and previous hip surgery. The contraindications for THR include infection, malignancy, and previous hip surgery. The contraindications for THR include infection, malignancy, and previous hip surgery. The contraindications for THR include infection, malignancy, and previous hip surgery. The contraindications for THR include infection, malignancy, and previous hip surgery. The contraindications for THR include infection, malignancy, and previous hip surgery. The",What is the outlook for Hip joint replacement ? (Also called: Hip arthroplasty; Total hip replacement; Hip hemiarthroplasty)
36,36,ADAM_0001982_Sec1.txt,What is (are) Hip or knee replacement - after - what to ask your doctor ? (Also called: What to ask your doctor after hip or knee replacement; Hip replacement - after - what to ask your doctor; Knee replacement - after - what to ask your doctor; Hip arthroplasty - after - what to ask your doctor; Knee arthroplasty - after - what to ask your doctor),You had surgery to get a new hip or knee joint while you were in the hospital.   Below are some questions you may want to ask your health care provider to help you take care of your new joint.,https://www.nlm.nih.gov/medlineplus/ency/patientinstructions/000232.htm,What is (are) Hip or knee replacement - after - what to ask your doctor? (Also called: What to ask your doctor after hip or knee replacement; Hip replacement - after - what to ask your doctor; Knee replacement - after - what to ask your doctor; Hip arthroplasty - after - what to ask your doctor; Knee arthroplasty - after - what to ask your doctor),What is (are) Hip or knee replacement - after - what to ask your doctor ? (Also called: What to ask your doctor after hip or knee replacement; Hip replacement - after - what to ask your doctor; Knee replacement - after - what to ask your doctor; Hip arthroplasty - after - what to ask your doctor; Knee arthroplasty - after - what to ask your doctor)
37,37,ADAM_0001983_Sec1.txt,What is (are) Hip or knee replacement - before - what to ask your doctor ? (Also called: What to ask your doctor before hip or knee replacement; Hip replacement - before - what to ask your doctor; Knee replacement - before - what to ask your doctor; Hip arthroplasty - before - what to ask your doctor; Knee arthroplasty - before - what to ask your doctor),You are going to have a hip or knee joint replacement surgery to replace all or part of your hip or knee joint with an artificial device (a prosthesis).  Below are some questions you may want to ask your health care provider to help you prepare for your hip or knee replacement.,https://www.nlm.nih.gov/medlineplus/ency/patientinstructions/000233.htm,* What are my other treatment options?,What is (are) Hip or knee replacement - before - what to ask your doctor ? (Also called: What to ask your doctor before hip or knee replacement; Hip replacement - before - what to ask your doctor; Knee replacement - before - what to ask your doctor; Hip arthroplasty - before - what to ask your doctor; Knee arthroplasty - before - what to ask your doctor)
38,38,ADAM_0001984_Sec1.txt,What is (are) Hip or knee replacement - in the hospital after ? (Also called: Hip replacement surgery - after - self-care; Knee replacement surgery - after - self-care),You will stay in the hospital for 2 to 3 days after having hip or knee joint replacement surgery. During that time you will recover from your anesthesia and the surgery.,https://www.nlm.nih.gov/medlineplus/ency/patientinstructions/000370.htm,**Hip or knee replacement - in the hospital after**,What is (are) Hip or knee replacement - in the hospital after ? (Also called: Hip replacement surgery - after - self-care; Knee replacement surgery - after - self-care)
39,39,ADAM_0000721_Sec2.txt,What causes Celiac disease - sprue?,"The exact cause is unknown. When people with celiac disease eat foods containing gluten, their immune system reacts by damaging the villi in the intestines.",Celiac Disease - Causes,"Celiac disease is an autoimmune disorder in which the small intestine is damaged by exposure to gluten. Gluten is a protein found in wheat, barley, and rye. Celiac disease can cause diarrhea, abdominal pain, and weight loss. The condition can also lead to malnutrition and other health problems. There is no cure for celiac disease, but a gluten-free diet can help manage symptoms.",What causes Celiac disease - sprue?
40,40,ADAM_0000933_Sec1.txt,Do you have information about Comprehensive metabolic panel?,A comprehensive metabolic panel is a group of blood tests that provide an overall picture of your body's chemical balance and metabolism.,Comprehensive Metabolic Panel,The Comprehensive Metabolic Panel (CMP) is a group of blood tests that are used to evaluate your general health and to screen for and monitor various diseases and conditions. The CMP includes the following tests:,What information do you have about the Comprehensive Metabolic Panel?
41,41,ADAM_0002446_Sec1.txt,Do you have information about a low-salt diet?,"A low-salt diet can benefit people with high blood pressure or heart failure, limiting daily sodium intake to 1,500-2,300 mg.",Low-Salt Diet,"A low-salt diet is a diet that restricts the amount of salt (sodium chloride) consumed. The recommended daily intake of salt for adults is 2.3 grams, which is equivalent to about 1 teaspoon of salt. However, many people consume much more than this, and a low-salt diet can help reduce the risk of high blood pressure, heart disease, and stroke. A low-salt diet is important for people with hypertension, heart disease, kidney disease, and other medical conditions. It is also recommended for people who are at risk of developing these conditions. A low-salt diet can be achieved by reducing the amount of salt added to food, choosing low-salt foods, and limiting the consumption of processed foods. Some tips for a low-salt diet include using herbs and spices instead of salt, reading food labels to identify high-salt foods, and avoiding foods that are naturally high in salt, such as cured meats and cheese. A low-salt diet can be challenging, but it is important for maintaining good health and reducing the risk of chronic diseases.<|end_of_text|>",What information do you have about a low-salt diet?
42,42,ADAM_0004359_Sec1.txt,Do you have information about 20 healthy snacks with 100 calories or less?,"Healthy snacks can include fresh fruits, vegetables, and whole grains that fit within 100 calories. Examples include apples, carrots with hummus, and low-fat yogurt.",Healthy Snacks - MedlinePlus,Some healthy snacks with 100 calories or less include:,What are some healthy snacks with 100 calories or less that you know of?
43,43,GHR_0000879_Sec1.txt,What is (are) ring chromosome 20 syndrome?,Ring chromosome 20 syndrome affects brain function and causes epilepsy. It may also cause intellectual disability and behavioral difficulties.,Ring Chromosome 20 Syndrome,"Ring chromosome 20 syndrome (RC20S) is a rare chromosomal disorder characterized by a variety of developmental and behavioral abnormalities. It is caused by a structural abnormality in chromosome 20, resulting in a ring-shaped structure rather than the usual linear structure. Individuals with RC20S may exhibit a range of symptoms, including intellectual disability, seizures, delayed development, and behavioral problems. Treatment for RC20S typically involves a combination of medications and behavioral interventions to manage the associated symptoms.",What is (are) ring chromosome 20 syndrome?
44,44,GHR_0000879_Sec2.txt,How many people are affected by ring chromosome 20 syndrome?,"This syndrome is rare, and its prevalence is unknown. Only 60 cases have been reported.",Ring Chromosome 20 Syndrome Prevalence,"Ring chromosome 20 syndrome is a rare disorder that affects the nervous system. It is caused by a deletion of a small part of chromosome 20. The deletion causes a loss of genetic material that is important for the development of the nervous system. The disorder is characterized by a variety of symptoms, including developmental delays, seizures, and intellectual disability. The disorder is often diagnosed in childhood, but it can also be diagnosed in adulthood. There is no cure for ring chromosome 20 syndrome, but treatment may include medications to control seizures and therapies to improve developmental delays.",How many people are affected by ring chromosome 20 syndrome?
45,45,GHR_0000879_Sec3.txt,What are the genetic changes related to ring chromosome 20 syndrome?,Ring chromosome 20 syndrome is caused by a chromosomal abnormality in which a chromosome forms a ring.,Ring Chromosome 20 Genetics,"Ring chromosome 20 syndrome is a rare disorder characterized by developmental delay, seizures, and other neurological abnormalities. It is caused by the deletion of a portion of chromosome 20, resulting in the loss of important genes. The specific genetic changes associated with ring chromosome 20 syndrome are not well understood, but it is believed to be related to the loss of genes involved in the regulation of brain development and function.<|end_of_text|>",What are the genetic changes related to ring chromosome 20 syndrome?
46,46,ADAM_0003770_Sec1.txt,What is (are) Substance use - amphetamines?,"Amphetamines are drugs that can be legal or illegal, depending on how they are used.",Amphetamines - MedlinePlus,"Substance use - amphetamines refers to the use of amphetamines, a class of stimulant drugs that are commonly used for their euphoric effects. Amphetamines are known to have a high potential for abuse and can lead to addiction. They are also associated with a number of negative health effects, including cardiovascular problems, neurological damage, and psychological disturbances.",What is (are) Substance use - amphetamines?
47,47,MPlusDrugs_0000067_Sec10.txt,What other information should I know about Amphetamine?,Keep appointments with your doctor. This prescription is not refillable.,Amphetamine Information,Amphetamine is a central nervous system stimulant that is used to treat attention-deficit hyperactivity disorder (ADHD) and narcolepsy. It is also used as an athletic performance and weight loss aid and recreationally as an aphrodisiac and euphoriant. Amphetamine was discovered in 1887 and approved by the US Food and Drug Administration (FDA) in 1932. It is a powerful stimulant of the central nervous system and is used in the treatment of attention-deficit hyperactivity disorder and narcolepsy. It is also used recreationally as an aphrodisiac and euphoriant. Amphetamine was discovered in 1887 and approved by the US Food and Drug Administration (FDA) in 1932. It is a powerful stimulant of the central nervous system and is used in the treatment of attention-deficit hyperactivity disorder and narcolepsy. It is also used recreationally as an aphrodisiac and euphoriant. Amphetamine was discovered in 1887 and approved by the US Food and Drug Administration (FDA) in 1932. It is a powerful stimulant of the central nervous system and is used in the treatment of attention-deficit hyperactivity disorder and narcolepsy. It is also used recreationally as an aphrodisiac and euphoriant. Amphetamine was discovered in 1887 and approved by the US Food and Drug Administration (FDA) in 1932. It is a powerful stimulant of the central nervous system and is used in the treatment of attention-deficit hyperactivity disorder and narcolepsy. It is also used recreationally as an aphrodisiac and euphoriant. Amphetamine was discovered in 1887 and approved by the US Food and Drug Administration (FDA) in 1932. It is a powerful stimulant of the central nervous system and is used in the treatment of attention-deficit hyperactivity disorder and narcolepsy. It is also used recreationally as an aphrodisiac and euphoriant. Amphetamine was discovered in 1887 and approved by the US Food and Drug Administration (FDA) in 1932. It is a powerful stimulant of the central nervous system and is used in the treatment of attention-deficit hyperactivity disorder and narcolepsy. It is also used recreationally as an aphrodisiac and euphoriant. Amphetamine was discovered in 1887 and approved by the US Food and Drug Administration (FDA) in 1932. It is a powerful stimulant,What other information should I know about Amphetamine?
48,48,MPlusDrugs_0000067_Sec11.txt,What are the brand names of Amphetamine ?, Dyanavel XR  - Evekeo) ,https://www.nlm.nih.gov/medlineplus/druginfo/meds/a616004.html,"Adderall, Vyvanse, Dexedrine, Desoxyn, ProCentra, Adzenys XR-ODT, Mydayis, Dyanavel XR, Adzenys ER, and Adzenys CD",What are the brand names of Amphetamine ?
49,49,MPlusDrugs_0000067_Sec3.txt,How should Amphetamine be used and the dosage?,Amphetamine comes as an tablet (Evekeo) and as an extended-release (long-acting) suspension (Dyanavel XR) to take by mouth. ,https://www.nlm.nih.gov/medlineplus/druginfo/meds/a616004.html,Amphetamine is used to treat attention-deficit hyperactivity disorder (ADHD) and narcolepsy. It may also be used for other conditions as determined by your doctor.,How should Amphetamine be used and the dosage?
50,50,MPlusDrugs_0000067_Sec6.txt,What should I do if I forget a dose of Amphetamine ?,"Take the missed dose as soon as you remember it. However, if it is almost time for the next dose, skip the missed dose and continue your regular dosing schedule. Do not take a double dose to make up for a missed one.) ",https://www.nlm.nih.gov/medlineplus/druginfo/meds/a616004.html,"If you forget a dose of Amphetamine, take the missed dose as soon as you remember. If it is close to the time for your next dose, skip the missed dose and continue with your normal schedule. Do not take two doses at the same time.<|end_of_text|>",What should I do if I forget a dose of Amphetamine ?
51,51,ADAM_0000424_Sec1.txt,What is (are) Benign positional vertigo ? ,Benign positional vertigo is the most common type of vertigo. Vertigo is the feeling that you are spinning or that everything is spinning around you. It may occur when you move your head in a certain position.) ,https://www.nlm.nih.gov/medlineplus/ency/article/001420.htm,"Benign positional vertigo (BPV) is a disorder of the inner ear characterized by brief episodes of vertigo, or the sensation of spinning, that occur when the head is turned in certain positions. The vertigo usually lasts only a few seconds and is often accompanied by nausea and vomiting. BPV is thought to be caused by a problem with the inner ear's balance system, and it is most commonly seen in older adults. Treatment for BPV typically involves lifestyle changes, such as avoiding positions that trigger the vertigo, and medications may be prescribed to help manage the symptoms.",What is (are) Benign positional vertigo ? 
52,52,ADAM_0000424_Sec2.txt,What is (are) Benign positional vertigo ? ,Benign positional vertigo is also called benign paroxysmal positional vertigo (BPPV)., https://www.nlm.nih.gov/medlineplus/ency/article/001420.htm,"Benign positional vertigo is a condition characterized by brief episodes of dizziness or vertigo (a feeling of spinning) that occur when the head is tilted or moved in certain positions. It is a common cause of vertigo and is often triggered by certain movements, such as rolling over in bed or getting out of bed.",What is (are) Benign positional vertigo ? 
53,53,ADAM_0000424_Sec3.txt,What are the symptoms of Benign positional vertigo?,"BPPV symptoms include any of the following
", https://www.nlm.nih.gov/medlineplus/ency/article/001420.htm,* Vertigo,What are the symptoms of Benign positional vertigo?
54,54,ADAM_0000424_Sec4.txt,How to diagnose Benign positional vertigo ?,Your health care provider will do a physical exam and ask about your medical history.  ,https://www.nlm.nih.gov/medlineplus/ency/article/001420.htm,"Benign paroxysmal positional vertigo (BPPV) is a common cause of vertigo, characterized by episodic, short-lived, rotatory vertigo with a sudden onset and offset, triggered by changes in head position, and with a relatively benign course. The most common etiology of BPPV is the cupulolithiasis of the posterior semicircular canal, which is the most frequently affected structure. The diagnosis is based on the characteristic history and the Dix-Hallpike maneuver, which reproduces the typical vertigo, nystagmus, and head-shaking nystagmus. The most important therapeutic maneuver is the Epley maneuver, which consists of a series of head movements that move the otoconia from the posterior semicircular canal to the utricle, where they are absorbed. In cases of failure, the use of the canalith repositioning procedure (CRP) and the particle repositioning maneuver (PRM) is recommended.<|end_of_text|>",How to diagnose Benign positional vertigo ?
55,55,ADAM_0000424_Sec5.txt,What are the treatments for Benign positional vertigo ?,Your provider will teach you how to do a procedure called Epley's maneuver. ,https://www.nlm.nih.gov/medlineplus/ency/article/001420.htm,"Benign paroxysmal positional vertigo (BPPV) is the most common cause of vertigo in adults. It is characterized by brief episodes of vertigo and nystagmus that are triggered by changes in head position. The cause of BPPV is a loose otoconia (calcium crystals) in the posterior semicircular canal. The crystals are normally located in the utricle and saccule, but they can become dislodged and enter the posterior semicircular canal, where they are free to move. When the head is moved, the crystals move with it, causing the endolymphatic fluid in the canal to move as well. This motion stimulates the vestibular nerve, which carries the signal to the brain, causing vertigo and nystagmus. BPPV can be diagnosed by the Dix-Hallpike maneuver, which involves moving the patient's head into a series of positions that are designed to trigger vertigo and nystagmus. The treatment for BPPV is usually canalith repositioning, which involves moving the patient's head in a series of positions that are designed to move the crystals back to their normal location in the utricle and saccule.<|end_of_text|>",What are the treatments for Benign positional vertigo ?
